Terrain Entity Table (1345)
-------------------------------------
DIR      |Sup Elev  |Grade   |Curve  
53.0735  |0         |0.0800  |0.0000 
53.0778  |0         |-0.1200 |0.0000 
53.1778  |0         |0.0600  |0.0000 
53.3341  |0         |0.0600  |0.3940 
53.3778  |0         |-0.0600 |0.3940 
53.4778  |0         |-0.2100 |0.3940 
53.5244  |0         |-0.2100 |0.4200 
53.6778  |0         |0.0300  |0.4200 
53.7136  |0         |0.0300  |0.3650 
53.9115  |0         |0.0300  |0.5759 
53.9778  |0         |0.1500  |0.5759 
54.0611  |0         |-0.1300 |0.5759 
54.0797  |0         |-0.1300 |0.0000 
54.1392  |0         |-0.1300 |0.3300 
54.1611  |0         |0.2000  |0.3300 
54.3111  |0         |0.0400  |0.3300 
54.3668  |0         |0.0400  |1.4570 
54.5053  |0         |0.0400  |1.7530 
54.6242  |0         |0.0400  |0.0000 
54.7111  |0         |-0.0900 |0.0000 
54.7945  |0         |0.0000  |0.0000 
54.8659  |0         |0.0000  |0.2260 
55.0456  |0         |-0.3300 |0.2260 
55.1439  |0         |0.1300  |0.2260 
55.3163  |0         |0.1300  |1.0070 
55.4386  |0         |-0.0800 |1.0070 
55.4466  |0         |-0.0800 |0.0000 
55.6680  |0         |-0.0200 |0.0000 
56.0500  |0         |0.0500  |0.0000 
56.2532  |0         |0.0500  |0.9870 
56.2683  |0         |0.1800  |0.9870 
56.4168  |0         |0.1800  |1.0730 
56.4867  |0         |-0.1000 |1.0730 
56.5700  |0         |-0.1000 |0.0000 
56.6312  |0         |-0.1000 |0.0310 
56.8469  |0         |0.1600  |0.0310 
56.9343  |0         |0.0000  |0.0310 
57.2486  |0         |0.0000  |1.0710 
57.2509  |0         |0.1500  |1.0710 
57.3710  |0         |-0.1400 |1.0710 
57.3860  |0         |-0.1400 |0.0000 
57.4473  |0         |-0.0300 |0.0000 
57.7517  |0         |-0.0300 |0.5500 
57.9123  |0         |-0.0300 |0.0000 
57.9276  |0         |-0.1000 |0.0000 
58.0695  |0         |0.1200  |0.0000 
58.1621  |0         |-0.1200 |0.0000 
58.2392  |0         |0.0000  |0.0000 
58.6144  |0         |0.0000  |0.2649 
58.7640  |0         |-0.0800 |0.2649 
58.9337  |0         |0.0000  |0.2649 
58.9647  |0         |0.0000  |0.0000 
59.3040  |0         |-0.1500 |0.0000 
59.3966  |0         |-0.0300 |0.0000 
59.5818  |0         |0.1200  |0.0000 
59.6897  |0         |-0.0400 |0.0000 
59.7907  |0         |-0.0400 |0.2040 
59.8905  |0         |0.2100  |0.2040 
60.0755  |0         |0.0400  |0.2040 
60.1871  |0         |0.0400  |0.0000 
60.2761  |0         |0.0000  |0.0000 
60.5386  |0         |-0.0800 |0.0000 
60.6466  |0         |0.0400  |0.0000 
60.7174  |0         |0.0400  |0.5490 
60.8854  |0         |0.0400  |0.7620 
60.9860  |0         |-0.0600 |0.7620 
61.0433  |0         |-0.0600 |0.6870 
61.2231  |0         |-0.0600 |0.8050 
61.3992  |0         |-0.0600 |0.0000 
61.5261  |0         |0.0200  |0.0000 
61.6089  |0         |0.0200  |0.0550 
62.0604  |0         |0.0200  |0.5130 
62.0971  |0         |0.0000  |0.5130 
62.3629  |0         |0.0000  |0.5210 
62.4521  |0         |-0.0500 |0.5210 
62.5543  |0         |-0.0500 |0.0000 
62.6988  |0         |0.1300  |0.0000 
62.7693  |0         |0.1300  |0.2070 
62.7918  |0         |-0.0700 |0.2070 
62.9843  |0         |0.0400  |0.2070 
63.1719  |0         |0.0400  |0.0000 
63.2164  |0         |-0.0200 |0.0000 
63.6098  |0         |-0.0200 |0.0939 
63.7835  |0         |-0.0200 |0.4940 
63.9778  |0         |-0.0200 |0.6350 
64.0392  |0         |0.0300  |0.6350 
64.1515  |0         |0.0300  |0.0000 
64.4172  |0         |-0.1100 |0.0000 
64.5168  |0         |0.0000  |0.0000 
64.6892  |0         |0.0500  |0.0000 
64.6962  |0         |0.0500  |0.0970 
65.0343  |0         |-0.1200 |0.0970 
65.1922  |0         |-0.0300 |0.0970 
65.2140  |0         |-0.0300 |0.4950 
65.4210  |0         |-0.0300 |0.5090 
65.6282  |0         |-0.0300 |0.6430 
65.7896  |0         |-0.0300 |0.0000 
65.9363  |0         |0.0100  |0.0000 
66.0013  |0         |0.0100  |0.2990 
66.2130  |0         |0.0100  |0.0000 
66.2835  |0         |0.0100  |0.2840 
66.3541  |0         |0.0100  |0.0000 
66.4532  |0         |0.1400  |0.0000 
66.4649  |0         |0.1400  |0.2670 
66.5254  |0         |0.1400  |0.0000 
66.5657  |0         |0.1400  |0.2720 
66.5699  |0         |0.0200  |0.2720 
66.7532  |0         |0.1300  |0.2720 
66.7773  |0         |0.1300  |0.4000 
66.8865  |0         |-0.0700 |0.4000 
66.9683  |0         |-0.0700 |0.0000 
67.1032  |0         |0.0100  |0.0000 
67.4869  |0         |0.0100  |0.2420 
67.7030  |0         |0.0100  |0.4630 
67.8937  |0         |0.0100  |0.5410 
68.0644  |0         |0.0100  |0.5120 
68.2250  |0         |0.0100  |0.5600 
68.2365  |0         |-0.1500 |0.5600 
68.4257  |0         |-0.1500 |0.0000 
68.6367  |0         |-0.1500 |0.7560 
68.7032  |0         |0.0900  |0.7560 
68.8032  |0         |0.1900  |0.7560 
68.8138  |0         |0.1900  |0.0000 
68.8532  |0         |0.1900  |0.2160 
69.0199  |0         |0.1000  |0.2160 
69.1865  |0         |-0.0500 |0.2160 
69.2699  |0         |0.2200  |0.2160 
69.3159  |0         |0.2200  |0.7330 
69.4932  |0         |0.2200  |1.1080 
69.5365  |0         |0.1300  |1.1080 
69.6314  |0         |0.1300  |0.0000 
69.7199  |0         |0.2500  |0.0000 
69.9089  |0         |0.2500  |0.9250 
69.9532  |0         |0.1600  |0.9250 
70.0322  |0         |0.1600  |2.0150 
70.1657  |0         |0.1600  |2.0990 
70.2790  |0         |0.1600  |0.0000 
70.3201  |0         |0.1600  |0.4690 
70.3365  |0         |-0.0200 |0.4690 
70.4865  |0         |-0.2900 |0.4690 
70.5865  |0         |-0.6800 |0.4690 
70.6284  |0         |-0.6800 |2.0720 
70.6699  |0         |0.3400  |2.0720 
70.7452  |0         |0.3400  |2.2250 
70.7532  |0         |-0.3000 |2.2250 
70.8511  |0         |-0.3000 |0.0000 
70.9365  |0         |-0.2400 |0.0000 
70.9858  |0         |-0.2400 |1.5150 
71.1110  |0         |-0.2400 |1.5580 
71.2263  |0         |-0.2400 |0.0000 
71.2502  |0         |-0.0300 |0.0000 
71.2841  |0         |-0.0300 |0.1040 
71.5055  |0         |-0.0300 |0.0000 
71.6113  |0         |-0.0300 |0.2250 
71.7096  |0         |-0.1600 |0.2250 
71.9280  |0         |-0.1600 |0.0000 
71.9648  |0         |-0.1000 |0.0000 
72.0403  |0         |-0.1000 |0.0620 
72.3147  |0         |-0.0100 |0.0620 
72.5513  |0         |-0.0100 |0.5230 
72.7229  |0         |-0.0100 |0.5590 
72.8617  |0         |0.0600  |0.5590 
72.8928  |0         |0.0600  |0.0000 
73.0221  |0         |-0.1200 |0.0000 
73.1240  |0         |-0.2300 |0.0000 
73.1331  |0         |-0.2300 |0.7310 
73.2356  |0         |-0.5400 |0.7310 
73.2926  |0         |-0.5400 |0.9620 
73.4524  |0         |-0.5400 |0.0000 
73.4754  |0         |-0.6100 |0.0000 
73.6818  |0         |-0.6100 |0.3810 
73.8352  |0         |-0.5600 |0.3810 
73.8896  |0         |-0.5600 |0.0000 
73.9291  |0         |-0.5600 |0.1750 
74.2034  |0         |-0.5100 |0.1750 
74.3545  |0         |-0.5100 |0.4890 
74.4434  |0         |-0.7600 |0.4890 
74.5424  |0         |-0.7600 |0.5740 
74.6574  |0         |-0.4600 |0.5740 
74.7112  |0         |-0.4600 |0.0000 
74.8115  |0         |-0.6400 |0.0000 
74.9144  |0         |-0.4600 |0.0000 
75.1199  |0         |-0.7100 |0.0000 
75.2142  |0         |-0.5899 |0.0000 
75.5826  |0         |-0.4400 |0.0000 
75.6937  |0         |-0.5700 |0.0000 
75.7420  |0         |-0.5700 |0.4760 
75.8861  |0         |-0.5100 |0.4760 
76.0163  |0         |-0.5100 |0.0000 
76.1004  |0         |-0.1900 |0.5010 
76.1437  |0         |0.0100  |0.5010 
76.2854  |0         |0.0100  |1.0870 
76.4183  |0         |-0.1900 |1.0870 
76.4449  |0         |-0.1900 |0.0000 
76.5051  |0         |0.0100  |0.0000 
76.6352  |0         |-0.1000 |0.0000 
76.9096  |0         |0.2200  |0.0000 
77.0108  |0         |-0.1300 |0.0000 
77.0975  |0         |0.0000  |0.0000 
77.3240  |0         |0.0000  |0.1850 
77.6148  |0         |0.0000  |0.0000 
77.7479  |0         |-0.0800 |0.0000 
78.0225  |0         |0.0000  |0.0000 
78.3115  |0         |-0.0700 |0.0000 
78.4848  |0         |0.0600  |0.0000 
78.6295  |0         |-0.0500 |0.0000 
78.7884  |0         |0.1200  |0.0000 
78.7930  |0         |0.1200  |0.5899 
78.9329  |0         |-0.0600 |0.5899 
78.9875  |0         |-0.0600 |1.0930 
79.1286  |0         |-0.0600 |0.0000 
79.1589  |0         |-0.0600 |0.2360 
79.2076  |0         |-0.1600 |0.2360 
79.3521  |0         |-0.0400 |0.2360 
79.4612  |0         |-0.0400 |0.0000 
79.6216  |0         |-0.0400 |0.5590 
79.6699  |0         |0.0800  |0.5590 
79.8577  |0         |-0.1300 |0.5590 
79.8646  |0         |-0.1300 |1.5000 
80.0060  |0         |-0.1300 |0.0000 
80.0456  |0         |0.0100  |0.0000 
80.0466  |0         |0.0100  |0.2430 
80.1577  |0         |0.0100  |0.0000 
80.3492  |0         |-0.1900 |0.0000 
80.4358  |0         |-0.1000 |0.0000 
80.5299  |0         |0.0100  |0.0000 
80.6827  |0         |0.2800  |0.0000 
80.7899  |0         |0.0100  |0.0000 
81.4102  |0         |0.2400  |0.0000 
81.4564  |0         |0.0300  |0.0000 
81.5880  |0         |-0.1500 |0.0000 
81.6206  |0         |-0.1500 |0.2120 
81.7500  |0         |0.0400  |0.2120 
81.9303  |0         |0.0400  |1.1770 
82.0282  |0         |-0.0800 |1.1770 
82.0602  |0         |-0.0800 |0.0000 
82.3521  |0         |-0.0100 |0.0000 
82.9742  |0         |0.0000  |0.0000 
83.2578  |0         |-0.0700 |0.0000 
83.4411  |0         |0.0000  |0.0000 
83.9913  |0         |0.0000  |0.9240 
84.1077  |0         |-0.0700 |0.9240 
84.1505  |0         |-0.0700 |0.9730 
84.2744  |0         |0.0000  |0.9730 
84.3000  |0         |0.0000  |1.2380 
84.4293  |0         |0.0000  |0.0000 
84.6496  |0         |0.0000  |0.1900 
84.8577  |0         |0.0700  |0.1900 
84.9371  |0         |0.0700  |1.3130 
85.0078  |0         |0.1700  |1.3130 
85.0767  |0         |0.1700  |0.0000 
85.1911  |0         |-0.0500 |0.0000 
85.3411  |0         |0.0500  |0.0000 
85.3454  |0         |0.0500  |1.7480 
85.4411  |0         |-0.0900 |1.7480 
85.4649  |0         |-0.0900 |3.2090 
85.5646  |0         |-0.0900 |2.8900 
85.6738  |0         |-0.0900 |2.7530 
85.7244  |0         |-0.2200 |2.7530 
85.7831  |0         |-0.2200 |0.0000 
85.8411  |0         |-0.0300 |0.0000 
85.8426  |0         |-0.0300 |0.5389 
85.9744  |0         |-0.1700 |0.5389 
85.9915  |0         |-0.1700 |0.0000 
86.0578  |0         |0.0000  |0.0000 
86.1204  |0         |0.0000  |1.0310 
86.2494  |0         |0.0000  |0.0000 
86.6142  |0         |0.0000  |0.3720 
86.7911  |0         |-0.0600 |0.3720 
86.8699  |0         |-0.0600 |1.7930 
87.0015  |0         |-0.0600 |0.0000 
87.1434  |0         |-0.0600 |1.1410 
87.3155  |0         |-0.0600 |1.5920 
87.3744  |0         |0.0600  |1.5920 
87.4369  |0         |0.0600  |1.5829 
87.5078  |0         |-0.0100 |1.5829 
87.5685  |0         |-0.0100 |1.6590 
87.6879  |0         |-0.0100 |1.5770 
87.8148  |0         |-0.0100 |1.8740 
87.9320  |0         |-0.0100 |0.0000 
87.9744  |0         |-0.0600 |0.0000 
88.1256  |0         |-0.0600 |0.2250 
88.4888  |0         |-0.0600 |1.2290 
88.5579  |0         |-0.3899 |1.2290 
88.6259  |0         |-0.3899 |1.1610 
88.7555  |0         |-0.3899 |1.1790 
88.9047  |0         |-0.3899 |1.2620 
89.0343  |0         |-0.3899 |0.0000 
89.0579  |0         |-0.1700 |0.0000 
89.1579  |0         |0.1200  |0.0000 
89.2413  |0         |0.4200  |0.0000 
89.4413  |0         |0.0800  |0.0000 
89.4826  |0         |0.0800  |1.0240 
89.6123  |0         |0.0800  |0.0000 
89.6913  |0         |0.3500  |0.0000 
89.9079  |0         |0.2100  |0.0000 
90.0079  |0         |-0.0300 |0.0000 
90.3246  |0         |-0.1600 |0.0000 
90.4413  |0         |-0.0300 |0.0000 
90.4835  |0         |-0.0300 |1.0220 
90.6453  |0         |-0.0300 |0.0000 
90.8886  |0         |-0.0300 |0.5190 
90.9538  |0         |-0.0300 |0.0000 
91.0413  |0         |0.0800  |0.0000 
91.3913  |0         |-0.0100 |0.0000 
91.6246  |0         |0.0400  |0.0000 
91.9746  |0         |0.2800  |0.0000 
92.2413  |0         |0.1500  |0.0000 
92.3079  |0         |-0.1500 |0.0000 
92.4079  |0         |-0.2300 |0.0000 
92.4521  |0         |-0.2300 |0.2680 
92.6524  |0         |-0.2300 |0.0000 
92.7413  |0         |-0.0700 |0.0000 
92.9746  |0         |-0.0200 |0.0000 
93.0023  |0         |0.0200  |0.0000 
93.0915  |0         |0.0200  |0.5270 
93.3047  |0         |0.0200  |1.0070 
93.3401  |0         |-0.0400 |1.0070 
93.4352  |0         |-0.0400 |1.0840 
93.5657  |0         |-0.0400 |1.0820 
93.6953  |0         |-0.0400 |0.0000 
93.8983  |0         |0.0300  |0.0000 
94.2801  |0         |-0.0300 |0.0000 
94.5004  |0         |0.0300  |0.0000 
94.5237  |0         |0.0300  |0.3600 
94.7494  |0         |0.0300  |0.7440 
94.8235  |0         |-0.1400 |0.7440 
94.8970  |0         |0.0400  |0.7440 
94.9089  |0         |0.0400  |0.0000 
94.9788  |0         |0.0400  |0.0829 
95.0439  |0         |-0.1000 |0.0829 
95.1907  |0         |0.0200  |0.0829 
95.2182  |0         |0.0200  |1.1430 
